Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-03 15:09:00,146.42,146.44,146.42,146.44,297.0,-0.020000000000010232,0,18.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:10:00,146.4,146.4,146.38,146.38,640.0,-0.039999999999992035,0,343.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:11:00,146.4,146.42,146.4,146.4,463.0,0.0,0,-177.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:13:00,146.38,146.66,146.38,146.42,5222.0,0.01999999999998181,1,4759.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:14:00,146.44,146.44,146.32,146.36,1577.0,-0.01999999999998181,0,-3645.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:15:00,146.4,146.4,146.38,146.38,449.0,-0.060000000000002274,0,-1128.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:16:00,146.38,146.4,146.38,146.4,100.0,0.0,0,-349.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:17:00,146.44,146.44,146.42,146.44,283.0,0.060000000000002274,1,183.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:18:00,146.44,146.44,146.44,146.44,106.0,0.0,0,-177.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:19:00,146.46,146.46,146.46,146.46,189.0,0.020000000000010232,1,83.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
